"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"general experiment template"
"01/01/2019 15:32:11:352 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio"
"415","41","15000","-14.325","-14.325","0.135"
"419","41","15000","-13.525","-13.525","0.295"
"417","41","4765","-2.9149999999999996","-2.9149999999999996","0.37"
"418","41","4745","-4.245","-4.245","0.1"
"425","42","15000","-13.4","-13.4","0.32"
"420","41","4709","-3.234","-3.234","0.295"
"421","42","5844","-5.7940000000000005","-5.7940000000000005","0.01"
"422","42","4746","-4.721","-4.721","0.005"
"423","42","4735","-4.4350000000000005","-4.4350000000000005","0.06"
"424","42","15000","-17","-17","0"
"426","42","4729","-3.979","-3.979","0.15"
"427","42","4741","-3.6159999999999997","-3.6159999999999997","0.225"
"432","43","15000","-14.6","-14.6","0.08"
"433","43","15000","-14.9","-14.9","0.02"
"428","42","11207","-11.032","-11.032","0.035"
"429","42","4781","-4.156","-4.156","0.125"
"430","42","4735","-4.3100000000000005","-4.3100000000000005","0.085"
"431","43","4763","-4.763","-4.763","0"
"437","43","15000","-14.475","-14.475","0.105"
"434","43","15000","-14.325","-14.325","0.135"
"435","43","4763","-4.288","-4.288","0.095"
"436","43","4756","-4.356","-4.356","0.08"
"438","43","15000","-14.475","-14.475","0.105"
"440","43","4754","-4.228999999999999","-4.228999999999999","0.105"
"439","43","15000","-14.775","-14.775","0.045"
"441","44","10787","-10.312000000000001","-10.312000000000001","0.095"
"442","44","5274","-5.024","-5.024","0.05"
"443","44","4742","-3.967","-3.967","0.155"
"444","44","4775","-4.4","-4.4","0.075"
"449","44","15000","-13.3","-13.3","0.34"
"445","44","4771","-4.446","-4.446","0.065"
"446","44","4727","-4.452","-4.452","0.055"
"447","44","4721","-4.546","-4.546","0.035"
"448","44","15000","-14.725","-14.725","0.055"
"453","45","15000","-14.725","-14.725","0.055"
"450","44","4744","-3.4939999999999998","-3.4939999999999998","0.25"
"451","45","4752","-4.252","-4.252","0.1"
"456","45","15000","-14.775","-14.775","0.045"
"452","45","4698","-3.3480000000000003","-3.3480000000000003","0.27"
"454","45","4719","-3.769","-3.769","0.19"
"459","45","15000","-14.9","-14.9","0.02"
"455","45","4756","-4.631","-4.631","0.025"
"457","45","4775","-4.1000000000000005","-4.1000000000000005","0.135"
"461","46","15000","-14.85","-14.85","0.03"
"458","45","10648","-10.472999999999999","-10.472999999999999","0.035"
"463","46","15000","-14.8","-14.8","0.04"
"460","45","4733","-3.8829999999999996","-3.8829999999999996","0.17"
"462","46","4791","-4.6160000000000005","-4.6160000000000005","0.035"
"466","46","15000","-13.925","-13.925","0.215"
"467","46","15000","-13.925","-13.925","0.215"
"469","46","15000","-14.95","-14.95","0.01"
"464","46","4734","-4.684","-4.684","0.01"
"465","46","15000","-14.925","-14.925","0.015"
"471","47","15000","-14.65","-14.65","0.07"
"468","46","4738","-4.563000000000001","-4.563000000000001","0.035"
"470","46","4753","-4.478","-4.478","0.055"
"472","47","4730","-4.405","-4.405","0.065"
"473","47","4731","-3.5809999999999995","-3.5809999999999995","0.23"
"474","47","4713","-5.513","-5.513","0.24"
"475","47","4755","-4.63","-4.63","0.025"
"476","47","4737","-4.487","-4.487","0.05"
"477","47","4732","-4.082","-4.082","0.13"
"478","47","4732","-3.582","-3.582","0.23"
"479","47","4745","-4.6450000000000005","-4.6450000000000005","0.02"
"481","48","4753","-4.078","-4.078","0.135"
"480","47","15000","-14.375","-14.375","0.125"
"482","48","15000","-14.3","-14.3","0.14"
"483","48","4775","-4.1000000000000005","-4.1000000000000005","0.135"
"484","48","4691","-3.3659999999999997","-3.3659999999999997","0.265"
"485","48","15000","-14.85","-14.85","0.03"
"486","48","4744","-3.2939999999999996","-3.2939999999999996","0.29"
"487","48","4726","-3.626","-3.626","0.22"
"488","48","4722","-4.672000000000001","-4.672000000000001","0.01"
"489","48","15000","-14.925","-14.925","0.015"
"490","48","15000","-14.575","-14.575","0.085"
"491","49","4792","-4.217","-4.217","0.115"
"492","49","4738","-2.9880000000000004","-2.9880000000000004","0.35"
"493","49","4781","-3.6809999999999996","-3.6809999999999996","0.22"
"494","49","8210","-7.985000000000001","-7.985000000000001","0.045"
"495","49","15000","-14.675","-14.675","0.065"
"496","49","4746","-4.621","-4.621","0.025"
"497","49","4729","-4.3790000000000004","-4.3790000000000004","0.07"
"498","49","4723","-3.698","-3.698","0.205"
"499","49","4746","-4.671","-4.671","0.015"
"500","49","15000","-14.45","-14.45","0.11"
"501","50","10852","-10.052","-10.052","0.16"
"502","50","4703","-3.3280000000000003","-3.3280000000000003","0.275"
"503","50","4709","-4.534","-4.534","0.035"
"504","50","4729","-4.454","-4.454","0.055"
"505","50","15000","-14.425","-14.425","0.115"
"510","50","15000","-14.45","-14.45","0.11"
"506","50","4778","-4.752999999999999","-4.752999999999999","0.005"
"507","50","15000","-14.95","-14.95","0.01"
"508","50","4719","-4.594","-4.594","0.025"
"511","51","15000","-14.15","-14.15","0.17"
"509","50","4723","-4.048","-4.048","0.135"
"513","51","15000","-14.8","-14.8","0.04"
"512","51","12385","-11.485","-11.485","0.18"
"519","51","15000","-14.575","-14.575","0.085"
"514","51","4727","-4.727","-4.727","0"
"515","51","4715","-3.9899999999999998","-3.9899999999999998","0.145"
"516","51","11351","-10.701","-10.701","0.13"
"517","51","15000","-14.525","-14.525","0.095"
"518","51","4733","-4.207999999999999","-4.207999999999999","0.105"
"520","51","15000","-14.825","-14.825","0.035"
