"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"baseline1"
"01/03/2019 08:41:31:731 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts"
"259","25","2355","1.4700000000000002","-3.3484025755944526","0.765","0","419.419139381988","153"
"258","25","2343","2.3819999999999997","-8.320924298078571","0.945","0","680.6526023870935","189"
"260","25","2319","2.106","-0.14616964709775893","0.885","0","396.0300587706886","177"
"261","26","15000","-11.15","-35.18399520496473","0.77","0","3244.1553704112457","154"
"262","26","12781","-10.431000000000001","-53.10300650767829","0.47","0","2951.242685638569","94"
"265","26","7769","-4.719","-26.789674721209476","0.61","0","2217.418773356669","122"
"263","26","15000","-12.125","-57.497982370440766","0.575","0","3795.7874171403314","115"
"266","26","7974","-5.549","-48.15595692062271","0.485","0","2725.1877142135154","97"
"264","26","14255","-11.23","-42.58191366431063","0.605","0","3167.985231970317","121"
"267","26","15000","-10.7","-23.204198723772976","0.86","0","3879.767313443852","172"
"268","26","7794","-6.369","-43.79663527687383","0.285","0","3624.523845835868","57"
"273","27","15000","-14.675","-24.0513599396941","0.065","0","3539.147627588485","13"
"269","26","5222","-4.047000000000001","-14.48728166682918","0.235","0","4143.834192272493","47"
"271","27","2157","-1.732","-14.827937944130076","0.085","0","1971.5531319188394","17"
"272","27","15000","-12.925","-16.289545676250885","0.415","0","4178.469948797231","83"
"274","27","3674","-3.549","-13.646066644562787","0.025","0","5086.984738979416","5"
"277","27","15000","-13.55","-25.157095859038","0.29","0","2524.253446970242","58"
"270","26","15000","-12.125","-27.89164817138554","0.575","0","5069.6998399489","115"
"275","27","7251","-6.876","-20.637044978701837","0.075","0","4658.064508290321","15"
"276","27","7780","-7.58","-18.26199166321033","0.04","0","4419.961451555574","8"
"278","27","2143","-1.0429999999999997","-9.620644939640801","0.22","0","1967.3967667777617","44"
"284","28","15000","-14.6","-24.042442562328922","0.08","0","2897.1799723210706","16"
"279","27","3516","-3.391","-14.496346678000565","0.025","0","3412.4555844680185","5"
"280","27","2143","-0.718","-11.374659600156596","0.285","0","2478.8585583749564","57"
"285","28","15000","-14.575","-24.652629393102917","0.085","0","2581.054749831881","17"
"281","28","9490","-9.215","-18.875058769459777","0.055","0","2842.787538388107","11"
"282","28","15000","-14.275","-23.398888490091345","0.145","0","2607.4465667237628","29"
"283","28","7932","-7.232","-18.56039133655956","0.14","0","3766.186646328918","28"
"289","28","15000","-14.725","-24.220220028503988","0.055","0","4140.626134605631","11"
"286","28","2093","-1.218","-12.822218556421934","0.175","0","2925.258543272701","35"
"287","28","10820","-10.745000000000001","-18.63583419570024","0.015","0","2943.8866250726783","3"
"288","28","3954","-2.354","-14.940642187090383","0.32","0","2043.5893657484223","64"
"290","28","2073","-0.798","-7.003117256280634","0.255","0","1434.0938344573547","51"
"292","29","12557","-10.382000000000001","-28.916811938842553","0.435","0","3625.2842102154596","87"
"293","29","8810","-6.460000000000001","-30.420128416145367","0.47","0","3693.578231764608","94"
"291","29","15000","-10.05","-20.56728210655027","0.99","0","1724.6627468802017","198"
"294","29","15000","-12.625","-18.58544259079323","0.475","0","3125.9487673012613","95"
"295","29","15000","-12.25","-68.2723082026778","0.55","0","2686.928172168652","110"
"301","30","15000","-14.3","-25.084345715993226","0.14","0","3778.84662438565","28"
"296","29","13925","-11.475000000000001","-27.268428448779694","0.49","0","2984.044291213728","98"
"297","29","10803","-6.253000000000001","-17.161048875493528","0.91","0","1457.2283482862747","182"
"298","29","8845","-4.070000000000001","-12.843437074441109","0.955","0","2118.220156845699","191"
"299","29","15000","-13.775","-50.481546475601824","0.245","0","4723.459551597769","49"
"300","29","15000","-13.1","-49.95828666132455","0.38","0","3816.1613307047314","76"
"304","30","15000","-13.4","-20.08182431253532","0.32","0","2908.121942257971","64"
"303","30","3116","-1.466","-18.612728009008578","0.33","0","1798.6758119193712","66"
"302","30","15000","-14.525","-23.770057502516302","0.095","0","3967.4114468395173","19"
"305","30","8719","-7.393999999999999","-15.17956973708781","0.265","0","3706.2296842462592","53"
"306","30","2092","-1.492","-11.753935398039552","0.12","0","2279.2770387019905","24"
"307","30","12577","-11.627","-27.650957621924753","0.19","0","3944.6214550103205","38"
"308","30","2091","0.9339999999999997","-9.036302865911717","0.605","0","913.6008562577356","121"
"309","30","2184","0.1160000000000001","-9.985330755446672","0.46","0","1763.7157635036128","92"
"311","31","15000","-14.5","-24.193347159693694","0.1","0","5360.916510475141","20"
"310","30","15000","-13.8","-56.32174870859504","0.24","0","2810.742908995602","48"
"312","31","4998","-3.7230000000000003","-32.37681718599577","0.255","0","2524.5232937455335","51"
"318","31","15000","-14.075","-21.76290420695745","0.185","0","3443.883853894684","37"
"313","31","5507","-3.332","-22.65324012316408","0.435","0","2002.9895473765166","87"
"314","31","4992","-2.6420000000000003","-26.031081933315246","0.47","0","1744.6978285779298","94"
