"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/13/2019 11:40:40:573 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"190","189","3091","-0.5910000000000002","-7.820250271242946","0.5","0","807.1385976086335","100","31.536713540974624","40.75578917145483","[112.52576152867323]"
"189","188","3334","1.666","-7.1793977808537495","1","0","731.9725937066271","200","52.89367558870871","35.56030221982879","[19.717029483027755]"
"192","191","2497","1.1029999999999998","-15.777520826742117","0.72","0","1509.1301891553132","144","85.07134979361511","83.7338584738061","[298.6445885239124]"
"193","192","4367","-5.367","-5.367","0","1","987.6053684119834","0","0","0","[101.11819488297812]"
"194","193","5238","-0.6130000000000004","-11.937144954785872","0.925","0","3876.7068223315036","185","89.06001787318492","24.181431674673746","[775.3413644663008]"
"195","194","2669","-3.669","-3.669","0","1","161.73862418759734","0","0","0","[32.34459400293046]"
"197","196","4053","-2.078","-62.74075747140263","0.395","0","2946.8178734747316","79","356.22044079659906","250.40713391742716","[19.870082827643625]"
"196","195","4223","0.7770000000000001","0.07933245001590294","1","0","81.67010283298922","200","4.001209084356629","2.9754664154843415","[16.334020566597843]"
"198","197","2797","-2.797","-2.797","0","0","799.7363614307933","0","0","0","[81.12785019513373]"
"199","198","20000","-20","-20","0","0","2274.667552349465","0","0","0","[406.3475601266767]"
"200","199","3590","-3.59","-3.59","0","0","1345.4072746184415","0","0","0","[180.99963910990792]"
"201","200","4830","-4.83","-4.83","0","0","1888.369524758043","0","0","0","[279.77008836921243]"
"202","201","2462","-0.2120000000000002","-5.61824694323013","0.45","0","497.30844251154593","90","33.373759186796406","20.688710245504883","[99.46168850230919]"
"203","202","9682","-9.682","-9.682","0","0","279.39860598792404","0","0","0","[55.87972119758481]"
"204","203","3316","0.8339999999999996","-2.380996061388352","0.83","0","736.1275911209954","166","17.916194335124242","14.233766278759262","[147.22551822419908]"
"205","204","2091","-2.016","-6.520756653465962","0.015","0","355.5714831227596","3","43.57984157639046","1.4677249582691578","[14.255899626886487]"
"207","206","3097","-3.097","-3.097","0","0","1123.477781328409","0","0","0","[224.69555626568183]"
"208","207","2134","1.641","0.17476123758976403","0.755","0","97.46753107774914","151","9.790870946506486","4.871516677595875","[0.5814709851523779]"
"209","208","5117","-0.11699999999999999","-1.9122706176263815","1","0","261.24106708365684","200","9.80666786523273","8.146038311031084","[52.248213416731375]"
"210","209","2319","1.7060000000000004","-12.206381520650584","0.805","0","921.9086783669188","161","92.75008975932515","46.37372544718076","[32.96818001145863]"
"211","210","3236","-1.3860000000000001","-13.599099174276816","0.37","0","1801.2243576742258","74","74.74226212877481","47.3887296139933","[142.9093095107476]"
"206","205","3550","1.4500000000000002","-0.013739042379362854","1","0","129.96387678455937","200","7.918657553843575","6.718732869950043","[19.54887196794152]"
"212","211","2935","-2.935","-2.935","0","0","1973.0346303854205","0","0","0","[394.6069260770841]"
"213","212","18719","-18.719","-18.719","0","0","2140.22327242307","0","0","0","[428.044654484614]"
"215","214","2722","0.6780000000000004","-13.310992170309508","0.68","0","2777.1465319802683","136","75.57385268128432","64.31606902181073","[552.4571945458299]"
"214","213","6217","-6.217","-6.217","0","0","2578.934196160878","0","0","0","[515.7868392321756]"
